All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 9.92797322342795851568553
Subset: (1,), P-Value: 0.00000000000000000000000, Loss: 7.11876744870180733215648
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 7.70589882680735538400540
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 10.12749421288169848764937
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 9.33707418975748382194979
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 8.57809860663757284271469
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 6.56996562584891030667222
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 9.33648374589760798869520
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 8.99892208282332362045963
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 9.09551960784529178738467
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 9.63817204201930799456477
Subset: (11,), P-Value: 0.00000000000000000000000, Loss: 10.08990328748121534374604
Subset: (0, 1), P-Value: 0.00000000000000000000000, Loss: 7.11570080515377156871182
Subset: (0, 2), P-Value: 0.00000000000000000000000, Loss: 7.64727013118539833413934
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 9.92614111362709117258873
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 9.12707483169637789899298
Subset: (0, 5), P-Value: 0.00000000000000000000000, Loss: 8.31148325292512524242738
Subset: (0, 6), P-Value: 0.00000000000000000000000, Loss: 6.20815135209744184408009
Subset: (0, 7), P-Value: 0.00000000000000000000000, Loss: 9.20469914682532142080618
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 8.84239626869252859364678
Subset: (0, 9), P-Value: 0.00000000000000000000000, Loss: 9.00365072445495684405614
Subset: (0, 10), P-Value: 0.00000000000000000000000, Loss: 9.44214009338622695111098
Subset: (0, 11), P-Value: 0.00000000000000000000000, Loss: 9.86496159948134554440458
Subset: (1, 2), P-Value: 0.00000000696622813034992, Loss: 5.67430601168493886632405
Subset: (1, 3), P-Value: 0.00000000000000000000000, Loss: 7.07709596126772488844381
Subset: (1, 4), P-Value: 0.00000000000000000292776, Loss: 6.18007394233719331566590
Subset: (1, 5), P-Value: 0.00000000001760537314412, Loss: 5.73408078801141751768000
Subset: (1, 6), P-Value: 0.00000000000000000000000, Loss: 5.01546607932883237168653
Subset: (1, 7), P-Value: 0.00000000000000000000000, Loss: 6.79249330252435878918504
Subset: (1, 8), P-Value: 0.00000000000000000000000, Loss: 6.63454103709383335996108
Subset: (1, 9), P-Value: 0.00000000000000000000000, Loss: 6.81963941370546322673363
Subset: (1, 10), P-Value: 0.00000000000000000000000, Loss: 6.83000331379830427636080
Subset: (1, 11), P-Value: 0.00000000000000000000000, Loss: 7.07068097307879028790012
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 7.65491041686263429255632
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 7.42624422474859979814710
Subset: (2, 5), P-Value: 0.00000000000000000000001, Loss: 6.41037654877040630196916
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 5.14382362997189535036568
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 7.38513933096207875195205
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 6.86920811246458651311286
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 7.11508096754262187033646
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 7.59248436421331174273064
Subset: (2, 11), P-Value: 0.00000000000000000000000, Loss: 7.67686180581907162689959
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 9.32824193530261602802511
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 8.52994261771161355056847
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 6.51142317135007697714855
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 9.31127463228416907270457
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 8.99587189532952535842014
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 9.08600152431308316636205
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 9.61008471205848557872287
Subset: (3, 11), P-Value: 0.00000000000000000000000, Loss: 10.08653515655172228093761
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 7.88887589627178442697186
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 6.03103029554290159808261
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 8.64142098133139668902913
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 8.33828955978447439179035
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 8.46824261540392342340056
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 8.91347016006367987017711
Subset: (4, 11), P-Value: 0.00000000000000000000000, Loss: 9.32462828825378586827810
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 6.44007502214481331037632
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 7.64254567077017465948074
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 8.10111081178498437793678
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 7.65563487991968738555215
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 8.07079768802348951339809
Subset: (5, 11), P-Value: 0.00000000000000000000000, Loss: 8.56962315740478430825533
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 5.56114785289727286965444
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 6.50445393404171579021522
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 5.12873182620977274837060
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 5.93817268335549997004819
Subset: (6, 11), P-Value: 0.00000000000000000000000, Loss: 6.36115726963547079009231
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 5.33149725628416160105871
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 8.85953404395267440918360
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 9.33622193630457708479753
Subset: (7, 11), P-Value: 0.00000000000000000000000, Loss: 8.60086357312053628731974
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 7.94982846843992785323962
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 7.24354183988386246539903
Subset: (8, 11), P-Value: 0.00000000000000000000000, Loss: 8.82726606671173819052001
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 8.99498578550318050872647
Subset: (9, 11), P-Value: 0.00000000000000000000000, Loss: 8.47542134809892111491081
Subset: (10, 11), P-Value: 0.00000000000000000000000, Loss: 9.11289454666494336265714
Subset: (1, 4, 5), P-Value: 0.02445322042524116987194, Loss: 4.91106256105436056458302
Subset: (1, 4, 6), P-Value: 0.00000000000000000000000, Loss: 4.33598152837348127519590
Subset: (1, 4, 7), P-Value: 0.00000000000000000000000, Loss: 5.93340928565507397252077
Subset: (1, 4, 8), P-Value: 0.00000000000000000000000, Loss: 5.80653399533699854373481
Subset: (1, 4, 9), P-Value: 0.00000000000000000000000, Loss: 5.99220538205900332684450
Subset: (1, 4, 10), P-Value: 0.00000000000000000000000, Loss: 5.95532447140520027062394
Subset: (1, 4, 11), P-Value: 0.00000000000000000010155, Loss: 6.16770547639232269432341
Subset: (1, 5, 6), P-Value: 0.00000000000000000000000, Loss: 4.75025763946026025053015
Subset: (1, 5, 7), P-Value: 0.00000000000000000000000, Loss: 5.30958771144647201367661
Subset: (1, 5, 8), P-Value: 0.00000000000000000000000, Loss: 5.62888854112954106767575
Subset: (1, 5, 9), P-Value: 0.00000000000000000000000, Loss: 5.48146352740916853463204
Subset: (1, 5, 10), P-Value: 0.00000000000000000000000, Loss: 5.43247905602869796126697
Subset: (1, 5, 11), P-Value: 0.00000000000005811698725, Loss: 5.72238552680337519973364
Subset: (1, 6, 7), P-Value: 0.00000000000000000000000, Loss: 4.45145375656392694452279
Subset: (1, 6, 8), P-Value: 0.00000000000000000000000, Loss: 5.00231721813054086567263
Subset: (1, 6, 9), P-Value: 0.00000000000000000000000, Loss: 4.31110715825501511488937
Subset: (1, 6, 10), P-Value: 0.00000000000000000000000, Loss: 4.58800156577109241595736
Subset: (1, 6, 11), P-Value: 0.00000000000000000000000, Loss: 4.91188111883687739123161
Subset: (1, 7, 8), P-Value: 0.00000000000000000000000, Loss: 4.67043076140464741285996
Subset: (1, 7, 9), P-Value: 0.00000000000000000000000, Loss: 6.67860872146200357235557
Subset: (1, 7, 10), P-Value: 0.00000000000000000000000, Loss: 6.76767366908254253132782
Subset: (1, 7, 11), P-Value: 0.00000000000000000000000, Loss: 6.35958639136190839735718
Subset: (1, 8, 9), P-Value: 0.00000000000000000000000, Loss: 6.27500035606554984468630
Subset: (1, 8, 10), P-Value: 0.00000000000000000000000, Loss: 5.63253380815658477587249
Subset: (1, 8, 11), P-Value: 0.00000000000000000000000, Loss: 6.59740992469773157580448
Subset: (1, 9, 10), P-Value: 0.00000000000000000000000, Loss: 6.69762010773437577171308
Subset: (1, 9, 11), P-Value: 0.00000000000000000000000, Loss: 6.50747844469553804458428
Subset: (1, 10, 11), P-Value: 0.00000000000000000000000, Loss: 6.44453434678873016139278
Subset: (2, 3, 4), P-Value: 0.00000000000000000000000, Loss: 7.37835938254867862440278
Subset: (2, 3, 5), P-Value: 0.00000000000001356249337, Loss: 6.29384038283815971936974
Subset: (2, 3, 6), P-Value: 0.00000000000000000000000, Loss: 5.03365299034684898771275
Subset: (2, 3, 7), P-Value: 0.00000000000000000000000, Loss: 7.31674844233739563037489
Subset: (2, 3, 8), P-Value: 0.00000000000000000000000, Loss: 6.86024888068173854804854
Subset: (2, 3, 9), P-Value: 0.00000000000000000000000, Loss: 7.06557305790761169816960
Subset: (2, 3, 10), P-Value: 0.00000000000000000000000, Loss: 7.52536522032213195387840
Subset: (2, 3, 11), P-Value: 0.00000000000000000000000, Loss: 7.63519224247781824743697
Subset: (2, 4, 5), P-Value: 0.00000011441079682920851, Loss: 6.17080733032103445623306
Subset: (2, 4, 6), P-Value: 0.00000000000000000000000, Loss: 4.92320975980683783745917
Subset: (2, 4, 7), P-Value: 0.00000000000000000000000, Loss: 7.11513136168802340364437
Subset: (2, 4, 8), P-Value: 0.00000000000000000000000, Loss: 6.63979816524027732782542
Subset: (2, 4, 9), P-Value: 0.00000000000000000000000, Loss: 6.88511680454899455128270
Subset: (2, 4, 10), P-Value: 0.00000000000000000000000, Loss: 7.31408360582458083598567
Subset: (2, 4, 11), P-Value: 0.00000000000000000000000, Loss: 7.41347844782549181275044
Subset: (2, 5, 6), P-Value: 0.00000000000000000000000, Loss: 4.98142966888184801632633
Subset: (2, 5, 7), P-Value: 0.00000000000000000000000, Loss: 5.98224084826675284176645
Subset: (2, 5, 8), P-Value: 0.00000000000000000000000, Loss: 6.08157265622469278554263
Subset: (2, 5, 9), P-Value: 0.00000000000000000000000, Loss: 5.88114580393537611513466
Subset: (2, 5, 10), P-Value: 0.00000000000000000000000, Loss: 6.27701919990554024764151
Subset: (2, 5, 11), P-Value: 0.00000000000000000000001, Loss: 6.40672180756979603444279
Subset: (2, 6, 7), P-Value: 0.00000000000000000000000, Loss: 4.59063360600272396538912
Subset: (2, 6, 8), P-Value: 0.00000000000000000000000, Loss: 5.08390513160068557851901
Subset: (2, 6, 9), P-Value: 0.00000000000000000000000, Loss: 4.16463839938142399432763
Subset: (2, 6, 10), P-Value: 0.00000000000000000000000, Loss: 4.88908525569942309374483
Subset: (2, 6, 11), P-Value: 0.00000000000000000000000, Loss: 4.98332591660290358248631
Subset: (2, 7, 8), P-Value: 0.00000000000000000000000, Loss: 4.62204150330551222225495
Subset: (2, 7, 9), P-Value: 0.00000000000000000000000, Loss: 7.04800946193428501374001
Subset: (2, 7, 10), P-Value: 0.00000000000000000000000, Loss: 7.36956389625144847599358
Subset: (2, 7, 11), P-Value: 0.00000000000000000000000, Loss: 7.01056193732657995099089
Subset: (2, 8, 9), P-Value: 0.00000000000000000000000, Loss: 6.24701581654441895352647
Subset: (2, 8, 10), P-Value: 0.00000000000000000000000, Loss: 6.05695565124258283873360
Subset: (2, 8, 11), P-Value: 0.00000000000000000000000, Loss: 6.73336464397547729276994
Subset: (2, 9, 10), P-Value: 0.00000000000000000000000, Loss: 7.11595208718830285476997
Subset: (2, 9, 11), P-Value: 0.00000000000000000000000, Loss: 6.72927181834557774919858
Subset: (2, 10, 11), P-Value: 0.00000000000000000000000, Loss: 7.39173408717620183949748
Subset: (3, 4, 5), P-Value: 0.00000000000000000000000, Loss: 7.84005823042503280362325
Subset: (3, 4, 6), P-Value: 0.00000000000000000000000, Loss: 5.97244644802167101715895
Subset: (3, 4, 7), P-Value: 0.00000000000000000000000, Loss: 8.61539710766720290280318
Subset: (3, 4, 8), P-Value: 0.00000000000000000000000, Loss: 8.33686285500838053508232
Subset: (3, 4, 9), P-Value: 0.00000000000000000000000, Loss: 8.45741775061422629278240
Subset: (3, 4, 10), P-Value: 0.00000000000000000000000, Loss: 8.88498299930857271533569
Subset: (3, 4, 11), P-Value: 0.00000000000000000000000, Loss: 9.31852568357530941511868
Subset: (3, 5, 6), P-Value: 0.00000000000000000000000, Loss: 6.36731354557110673653142
Subset: (3, 5, 7), P-Value: 0.00000000000000000000000, Loss: 7.54959546473864939741816
Subset: (3, 5, 8), P-Value: 0.00000000000000000000000, Loss: 8.09234996336103051817190
Subset: (3, 5, 9), P-Value: 0.00000000000000000000000, Loss: 7.60455544017561546610295
Subset: (3, 5, 10), P-Value: 0.00000000000000000000000, Loss: 7.97918651277014401301813
Subset: (3, 5, 11), P-Value: 0.00000000000000000000000, Loss: 8.52690105008398369079714
Subset: (3, 6, 7), P-Value: 0.00000000000000000000000, Loss: 5.45279224763556324973024
Subset: (3, 6, 8), P-Value: 0.00000000000000000000000, Loss: 6.46633722530885624024677
Subset: (3, 6, 9), P-Value: 0.00000000000000000000000, Loss: 5.05810234320566998178492
Subset: (3, 6, 10), P-Value: 0.00000000000000000000000, Loss: 5.82449332325321300629639
Subset: (3, 6, 11), P-Value: 0.00000000000000000000000, Loss: 6.25565324044600412634054
Subset: (3, 7, 8), P-Value: 0.00000000000000000000000, Loss: 5.32813166893619705177798
Subset: (3, 7, 9), P-Value: 0.00000000000000000000000, Loss: 8.84025067372327910675267
Subset: (3, 7, 10), P-Value: 0.00000000000000000000000, Loss: 9.30975656843427046283068
Subset: (3, 7, 11), P-Value: 0.00000000000000000000000, Loss: 8.59618074518529162730829
Subset: (3, 8, 9), P-Value: 0.00000000000000000000000, Loss: 7.94772877769078434084804
